"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"  4197 Morpheus (1982 TA)",0.522,12.60,N,14.98,0.0985,4.07,1954-09-03,0
"  4257 Ubasti (1987 QA)",0.876,40.72,N,15.96,0.171,2.42,1987-08-23,0
"  4341 Poseidon (1987 KF)",0.587,11.84,N,16.08,0.194,3.08,1987-05-29,0
"  4401 Aditi (1985 TB)",1.128,26.63,N,16.12,0.335,4.04,1985-10-14,0
"  4450 Pan (1987 SY)",0.596,5.52,Y,17.28,0.0289,2.29,1937-02-06,0
"  4486 Mithra (1987 SB)",0.745,3.04,Y,15.61,0.0462,3.67,1987-01-29,0
"  4487 Pocahontas (1987 UA)",1.217,16.41,N,17.49,0.219,2.24,1987-09-24,0
"  4503 Cleobulus (1989 WM)",1.285,2.51,N,15.82,0.305,4.12,1980-12-30,0
"  4544 Xanthus (1989 FB)",0.781,14.14,N,17.38,0.173,1.30,1989-03-30,0
"  4581 Asclepius (1989 FC)",0.658,4.92,Y,20.74,0.00313,1.39,1989-03-31,0
"  4596 (1981 QB)",1.075,37.07,N,16.45,0.297,3.40,1981-08-28,0
"  4660 Nereus (1982 DB)",0.952,1.45,Y,18.75,0.00367,2.02,1981-09-30,0
"  4688 (1980 WF)",1.076,6.38,N,19.60,0.109,3.39,1980-11-29,0
"  4769 Castalia (1989 PB)",0.549,8.88,Y,17.43,0.0205,1.58,1989-08-01,0
"  4947 Ninkasi (1988 TJ1)",1.139,15.65,N,18.08,0.15,1.60,1978-02-17,0
"  4953 (1990 MU)",0.555,24.38,Y,14.93,0.0259,2.69,1974-07-21,0
"  4954 Eric (1990 SQ)",1.102,17.43,N,12.55,0.194,2.90,1975-06-07,0
"  4957 Brucemurray (1990 XJ)",1.223,35.01,N,15.11,0.425,1.91,1976-03-11,0
"  5011 Ptah (6743 P-L)",0.818,7.41,Y,16.70,0.0252,2.45,1960-09-24,0
"  5131 (1990 BG)",0.640,36.44,N,14.83,0.274,2.33,1978-12-06,0
"  5143 Heracles (1991 VL)",0.420,8.98,N,14.07,0.0578,3.25,1953-11-30,0
"  5189 (1990 UQ)",0.809,3.58,Y,17.84,0.0448,2.29,1990-10-20,0
"  5324 Lyapunov (1987 SL)",1.177,19.62,N,15.34,0.228,4.79,1987-09-19,0
"  5332 Davidaguilar (1990 DA)",1.177,25.52,N,15.02,0.307,3.15,1973-10-18,0
"  5370 Taranis (1986 RA)",1.205,19.17,N,15.23,0.213,5.43,1986-08-11,0
"  5381 Sekhmet (1991 JY)",0.667,48.97,N,16.72,0.114,1.23,1991-05-14,0
"  5496 (1973 NA)",0.889,68.00,N,16.15,0.0937,3.98,1973-07-06,0
"  5587 (1990 SB)",1.094,18.07,N,13.89,0.31,3.71,1953-12-07,0
"  5590 (1990 VA)",0.710,14.18,N,19.91,0.122,1.26,1990-11-09,2
"  5604 (1992 FE)",0.552,4.71,Y,17.38,0.0333,1.31,1985-04-17,0
"  5620 Jasonwheeler (1990 OA)",1.246,7.87,N,17.12,0.238,3.07,1955-05-16,0
"  5626 Melissabrucker (1991 FE)",1.197,3.85,N,14.34,0.213,3.19,1970-09-08,0
"  5645 (1990 SP)",0.830,13.51,N,17.23,0.0538,1.88,1974-08-13,0
"  5646 (1990 TR)",1.210,7.91,N,15.51,0.212,3.08,1990-05-03,0
"  5653 Camarillo (1992 WD5)",1.248,6.87,N,16.22,0.284,2.34,1974-03-24,0
