"full_name","q","i","pha","H","moid","ad","first_obs","condition_code"
"523804 (2000 YF29)",0.938,6.30,Y,20.31,0.00855,2.05,2000-11-25,0
"523805 (2001 QA143)",1.146,6.83,N,19.93,0.199,3.37,2001-08-11,0
"523806 (2002 WW17)",1.050,18.58,N,17.44,0.294,5.00,2002-11-18,0
"523807 (2003 LG)",0.506,11.89,N,18.55,0.182,3.32,2003-06-02,0
"523808 (2007 ML24)",0.487,33.43,Y,19.35,0.0221,1.03,2007-06-21,0
"523809 (2007 TV18)",0.807,0.93,N,23.79,0.00152,1.67,2007-10-09,0
"523810 (2008 RG98)",0.509,10.73,N,17.24,0.176,3.87,2004-09-15,0
"523811 (2008 TQ2)",1.070,3.87,N,20.79,0.103,2.62,2008-10-03,0
"523812 (2008 TY3)",1.118,3.25,N,24.06,0.117,2.56,2008-10-06,0
"523813 (2008 VB1)",0.926,10.32,Y,20.65,0.0191,1.63,2005-09-26,0
"523814 (2008 WN2)",0.976,3.75,Y,20.81,0.0493,1.86,2008-10-24,0
"523815 (2009 HW44)",1.094,41.11,N,17.56,0.317,4.28,2009-04-22,0
"523816 (2009 ST103)",0.760,15.74,Y,18.14,0.0371,4.64,2000-09-27,0
"523817 (2009 TK)",1.041,20.18,N,22.34,0.041,1.57,2009-10-08,0
"523818 (2010 SH13)",1.041,13.86,Y,21.27,0.0454,1.37,2010-09-27,0
"523819 (2010 VB72)",1.136,16.06,N,20.90,0.142,1.30,2010-11-08,0
"523820 (2011 GN44)",0.903,55.01,Y,18.20,0.00541,3.59,2011-04-03,0
"523821 (2011 RF)",1.244,9.52,N,20.51,0.293,2.29,2011-09-01,0
"523822 (2012 DG61)",0.857,15.31,N,18.05,0.142,5.66,2012-02-28,0
"523823 (2015 BG311)",1.108,5.74,N,18.33,0.135,4.03,2001-05-22,0
"523824 (2016 RO1)",1.037,13.68,N,19.59,0.0547,2.07,2015-01-17,0
"523826 (1990 UP)",1.103,28.22,N,20.35,0.2,1.56,1990-10-24,0
"523828 (1992 BC)",0.921,14.34,N,19.96,0.105,1.92,1992-01-24,0
"523915 (1997 VM4)",0.479,14.46,N,18.57,0.113,4.74,1997-11-06,0
"523934 (1998 FF14)",0.862,38.69,Y,20.62,0.0276,1.64,1998-03-20,0
"523941 (1998 HK49)",0.924,7.62,N,22.18,0.0759,1.84,1998-04-29,0
"523945 (1998 RN1)",1.068,26.89,N,19.05,0.21,4.15,1998-09-14,0
"523950 (1998 SZ27)",0.446,23.64,Y,20.17,0.00759,1.36,1998-09-21,0
"523966 (1998 YF10)",1.121,15.60,N,20.68,0.221,1.86,1998-12-22,0
"523967 (1998 YR11)",1.063,59.73,N,18.13,0.157,3.00,1998-12-23,0
"523971 (1999 AJ39)",0.837,10.09,N,21.27,0.162,1.48,1999-01-15,0
"523972 (1999 CW8)",0.899,33.61,N,18.66,0.236,3.58,1999-02-12,0
"524150 (2000 WJ10)",1.120,16.03,N,20.67,0.191,3.02,2000-11-19,0
"524196 (2001 QP181)",1.052,4.52,N,18.71,0.0677,3.43,2001-08-31,0
"524268 (2001 TO48)",0.860,6.84,N,19.93,0.0501,2.89,2001-10-15,0
"524391 (2002 AD2)",1.072,32.40,N,20.60,0.098,1.77,2002-01-07,0
"524392 (2002 AU5)",0.497,9.18,N,17.81,0.136,3.54,2001-06-16,0
"524459 (2002 GA)",0.968,12.66,N,20.39,0.113,3.04,2002-04-01,0
"524471 (2002 JW15)",0.660,11.77,N,20.43,0.117,1.14,1996-05-07,0
"524474 (2002 KJ3)",1.160,6.40,N,19.40,0.185,3.38,2002-04-13,0
"524475 (2002 KJ4)",1.006,27.92,Y,19.36,0.0251,3.54,2002-05-22,0
"524498 (2002 RT112)",1.294,4.13,N,18.16,0.281,3.99,2002-09-06,0
"524516 (2002 UN)",1.171,26.19,N,17.41,0.254,4.84,2002-10-22,0
"524522 Zoozve (2002 VE68)",0.427,9.04,Y,20.54,0.0262,1.02,2002-11-11,0
"524530 (2002 XC91)",0.606,10.79,N,19.68,0.122,2.35,2002-12-13,0
"524536 (2003 AO4)",1.186,21.09,N,19.08,0.35,3.14,2003-01-05,0
"524594 (2003 NW1)",0.865,6.16,Y,18.68,0.0256,3.98,2003-07-03,0
"524597 (2003 OQ13)",1.093,16.15,N,20.51,0.0926,1.51,2003-07-25,0
"524599 (2003 PC11)",1.188,22.96,N,17.24,0.185,4.52,2003-08-05,0
"524603 (2003 QA31)",0.786,8.34,N,19.49,0.0509,2.69,2003-02-19,0
"524974 (2004 PX27)",1.155,22.15,N,18.42,0.23,3.41,2004-08-10,0
"525229 (2004 UU1)",0.891,29.97,Y,21.17,0.0269,1.56,2004-10-23,0
"525231 (2004 VB)",0.862,10.86,Y,20.85,0.0437,2.06,2004-11-01,0
"525234 (2004 VB17)",1.234,23.65,N,19.72,0.259,2.27,2004-11-07,0
"525268 (2004 XL14)",0.448,21.46,Y,21.43,0.0279,1.07,2004-12-10,0
"525319 (2004 YU5)",1.265,24.18,N,19.04,0.338,3.35,2004-12-20,0
"525356 (2005 BG14)",0.543,21.68,Y,18.75,0.0301,3.44,2005-01-20,0
"525364 (2005 CL7)",0.944,31.28,N,19.63,0.0637,1.15,2005-02-03,0
"525477 (2005 FC3)",0.809,9.86,N,19.38,0.0766,3.14,2005-02-04,0
"525484 (2005 GL)",0.733,15.90,Y,21.30,0.00624,1.38,2005-04-01,0
"525498 (2005 GE60)",0.723,5.58,N,22.12,0.0042,1.19,2005-04-09,0
"525552 (2005 JB)",1.099,36.63,N,18.95,0.0945,2.91,2005-05-03,0
"526238 (2005 YY36)",1.146,4.60,N,19.55,0.169,2.64,2005-12-25,0
"526449 (2006 OH15)",1.066,37.01,N,18.89,0.279,1.96,2006-07-31,0
"526587 (2006 TB)",1.055,27.57,Y,20.03,0.0487,2.07,2006-10-01,0
"526670 (2006 UL217)",0.932,9.92,Y,20.75,0.0213,1.93,2006-10-31,0
"526742 (2006 WR127)",0.566,16.79,N,20.49,0.192,1.25,1993-12-11,0
"526798 (2007 AA9)",0.497,6.80,N,22.58,0.0153,1.22,2007-01-13,1
"526825 (2007 CK26)",0.963,32.40,N,19.02,0.239,2.63,1995-08-29,0
"526826 (2007 CA27)",0.568,29.97,N,21.28,0.133,1.16,2007-02-13,0
"526878 (2007 FE)",0.974,7.00,Y,19.36,0.0269,2.61,2002-02-04,0
"526898 (2007 HR)",0.276,11.97,N,20.65,0.111,1.86,2007-04-16,0
"527115 (2007 TD14)",1.263,4.79,N,19.01,0.26,3.46,1996-10-08,0
"527671 (2007 WF55)",1.130,19.71,N,19.17,0.297,3.67,2007-11-29,0
"527715 (2007 YQ56)",0.812,26.45,Y,19.97,0.0127,1.47,2007-12-31,0
"527841 (2008 CR1)",0.618,45.77,N,19.61,0.378,1.68,2008-02-03,1
"527959 (2008 EB32)",1.152,5.37,N,19.47,0.161,2.78,2008-03-10,0
"527977 (2008 EY68)",0.179,19.79,N,22.30,0.0396,1.31,2008-03-11,1
"528159 (2008 HS3)",1.046,8.17,Y,21.51,0.0382,1.65,2008-04-30,0
"528284 (2008 SW11)",0.671,7.44,N,21.19,0.105,1.60,2008-09-25,0
"528507 (2008 UC95)",1.136,8.42,N,18.68,0.156,3.28,2008-10-29,0
"528609 (2008 VU4)",0.535,11.97,N,17.61,0.185,4.21,2008-11-07,0
"528650 (2008 WX32)",0.943,23.93,N,19.26,0.145,3.50,2008-11-02,0
"528756 (2009 AS)",1.191,5.68,N,18.30,0.221,3.37,2002-06-02,0
"528804 (2009 BJ58)",0.531,13.02,Y,19.02,0.016,3.17,2009-01-29,0
"528807 (2009 BL71)",0.688,5.55,N,22.07,0.00976,1.19,2009-01-30,0
"528857 (2009 CT)",0.669,3.84,N,19.67,0.0584,3.04,2009-02-02,0
"528859 (2009 CR5)",0.793,5.05,N,22.21,0.0669,1.36,2009-02-14,0
"529032 (2009 NA)",1.172,10.11,N,17.55,0.253,4.13,2000-07-04,0
"529366 (2009 WM1)",0.981,25.77,Y,20.42,0.000225,1.38,2009-11-17,0
"529450 (2010 AK)",0.920,11.06,N,19.25,0.0728,2.54,2010-01-06,0
"529668 (2010 JL33)",0.709,5.38,Y,17.89,0.0313,4.65,1997-06-04,0
"529670 (2010 JT34)",0.886,44.43,N,19.14,0.0553,2.08,2010-05-07,0
"529718 (2010 KY127)",0.292,60.79,N,16.83,0.708,4.69,2010-05-31,0
"529720 (2010 LM14)",0.689,25.92,N,21.30,0.313,1.53,2010-06-02,0
"529752 (2010 MR)",1.163,3.33,N,18.63,0.17,3.74,2010-06-16,0
"529753 (2010 MF1)",1.029,9.10,Y,19.65,0.0425,3.97,2010-06-18,0
"529819 (2010 PM58)",0.741,13.59,N,20.86,0.0965,2.00,2010-08-01,1
"529920 (2010 TL117)",1.177,25.12,N,19.38,0.376,3.70,2010-10-09,0
"529951 (2010 UD)",0.808,26.29,Y,21.08,0.0126,1.39,2010-10-04,0
"530085 (2010 XC11)",0.380,9.12,Y,18.76,0.0319,4.66,2010-12-03,0
"530151 (2011 AW55)",0.534,21.91,N,20.70,0.177,1.68,2002-12-31,1
"530520 (2011 LT17)",0.784,20.90,Y,21.85,0.00173,1.42,2011-06-09,0
"530531 (2011 OL5)",1.028,15.73,N,20.24,0.119,1.42,2010-12-15,0
"530743 (2011 UA131)",1.035,24.89,N,17.79,0.258,4.12,2011-10-23,0
"530871 (2011 WS2)",0.259,46.79,N,17.25,0.0929,1.76,2010-01-07,1
"530938 (2011 XE)",0.421,20.72,N,19.30,0.0533,1.15,2004-12-14,0
"530940 (2011 XE1)",1.232,18.31,N,18.19,0.36,3.41,2011-12-03,0
"530974 (2012 BN11)",0.882,4.36,Y,20.77,0.0216,2.03,2012-01-19,0
"531060 (2012 DJ61)",0.445,53.63,Y,19.89,0.03,1.39,2012-02-28,0
"531277 (2012 MM11)",0.744,3.18,Y,20.30,0.0112,3.48,2012-06-24,0
"531898 (2013 BE18)",1.254,2.43,N,21.04,0.257,2.84,2013-01-16,0
"531899 (2013 BE19)",0.640,31.01,Y,19.78,0.0462,1.18,2013-01-18,0
"531914 (2013 BW76)",0.960,40.36,Y,18.37,0.0281,3.16,2013-01-22,0
"531944 (2013 CU83)",1.050,10.34,Y,21.33,0.0424,1.52,2013-02-10,0
"532058 (2013 GU68)",1.166,22.79,N,19.47,0.188,2.01,2007-04-23,1
"532874 (2013 YZ13)",1.026,31.22,N,19.64,0.136,1.75,2001-06-23,0
"533011 (2014 AY28)",1.023,5.71,Y,21.85,0.0381,1.83,2014-01-04,0
"533372 (2014 GG17)",0.885,39.15,Y,20.17,0.0155,1.85,2014-04-04,0
"533541 (2014 JU54)",1.053,26.77,N,19.92,0.073,1.82,2014-05-07,1
"533638 (2014 KT86)",0.988,22.46,N,20.39,0.0997,1.39,2001-05-24,0
"533671 (2014 LJ21)",0.302,24.28,Y,15.90,0.0262,5.48,2005-05-12,0
"533722 (2014 NE52)",0.815,3.86,Y,18.21,0.0357,3.96,2014-05-06,1
"533990 (2014 QX266)",1.096,2.82,N,22.41,0.097,1.73,2004-10-15,0
"534676 (2014 VK2)",0.728,16.39,N,18.65,0.0937,2.95,2014-10-26,0
"535148 (2014 XR6)",1.211,27.14,N,18.38,0.429,3.96,2011-06-07,0
"535221 (2014 YN44)",1.079,22.21,N,19.07,0.0652,2.13,2014-12-29,2
"535844 (2015 BY310)",0.951,4.79,Y,21.89,0.0243,2.22,2015-01-18,0
"536531 (2015 DV215)",0.919,13.20,Y,20.46,0.00744,2.16,2014-10-07,0
"537098 (2015 GZ45)",1.055,5.68,N,19.13,0.0932,3.06,2015-04-13,0
"537342 (2015 KN120)",0.975,18.56,N,20.43,0.0751,2.23,2015-05-22,0
"537395 (2015 LG2)",1.031,21.29,Y,20.48,0.0188,1.49,2002-01-10,0
"537467 (2015 ME54)",1.076,14.14,N,20.40,0.245,2.20,2015-06-20,0
"537686 (2015 SA17)",1.133,42.56,N,18.95,0.189,2.18,2015-09-25,1
"537829 (2015 XY378)",0.363,13.92,N,19.51,0.197,1.06,2015-12-01,1
"538085 (2016 BO1)",0.815,62.61,N,17.72,0.159,2.93,2016-01-08,1
"538212 (2016 CA136)",0.444,1.26,Y,19.35,0.00705,3.62,2015-04-18,0
"538644 (2016 FA4)",0.226,16.21,N,19.47,0.163,1.96,2016-03-18,0
"538648 (2016 FS6)",0.290,37.18,N,19.48,0.445,2.31,2016-03-17,0
"538979 (2016 KE)",1.258,22.74,N,19.61,0.464,3.14,2005-12-25,0
"539063 (2016 MK1)",0.426,10.78,Y,19.12,0.0246,2.57,2004-04-05,0
"539694 (2016 TE93)",0.853,22.73,N,21.32,0.15,1.22,2016-10-13,2
"539856 (2017 EV2)",0.447,16.50,N,20.92,0.116,1.57,2017-03-05,0
"539940 (2017 HW1)",1.156,33.96,N,18.01,0.156,3.12,2012-10-22,0
"543319 (2013 YE38)",0.776,34.17,N,20.22,0.0944,3.36,2013-12-28,0
"545274 (2011 FZ2)",0.576,13.31,N,17.48,0.177,4.75,2011-03-25,0
"549328 (2011 GO27)",0.981,6.67,N,19.01,0.103,2.73,2011-04-03,0
"549459 (2011 JX1)",0.544,23.92,N,17.99,0.277,3.63,2011-05-02,0
"549948 (2011 WL2)",0.772,14.13,Y,20.84,0.00173,1.38,2010-04-14,0
"550271 (2012 DP8)",1.054,24.10,N,19.76,0.0695,1.63,1998-02-23,0
"551685 (2013 HT15)",0.635,2.92,Y,21.82,0.0269,1.57,2006-03-26,0
"554126 (2012 NP)",1.106,7.36,N,21.40,0.0992,3.07,2003-10-23,0
"555122 (2013 RF36)",0.650,28.28,N,16.97,0.337,3.96,2013-09-05,0
"558307 (2015 AS45)",1.184,20.40,N,17.56,0.241,5.24,2010-07-20,0
"560563 (2015 HH10)",0.562,8.01,N,18.14,0.101,2.67,2013-04-09,0
"564883 (2016 TZ56)",1.052,60.65,N,19.30,0.351,2.06,2016-10-10,0
"564934 (2016 WE1)",1.294,5.59,N,19.52,0.328,2.70,2002-11-23,0
"566540 (2018 RW7)",0.897,9.24,N,21.61,0.0639,2.33,2013-05-12,0
"567077 (2019 LW1)",1.212,8.02,N,19.21,0.203,3.56,2008-12-02,0
"567092 (2019 SJ10)",1.025,6.75,N,17.47,0.0559,3.93,2009-04-18,0
"572822 (2008 UC)",1.080,10.26,N,18.99,0.109,2.87,2008-10-19,0
"574660 (2010 TM167)",0.584,5.31,N,20.98,0.0874,1.74,2010-10-14,1
"576330 (2012 PW)",0.926,22.31,N,18.79,0.0576,2.62,2012-08-06,0
"576763 (2012 UR136)",1.033,6.06,Y,19.30,0.0323,2.80,2012-10-20,0
"577723 (2013 PF10)",0.663,17.25,N,20.17,0.287,2.06,2010-08-20,0
"580109 (2015 BF4)",1.179,5.79,N,20.50,0.201,2.96,2002-10-31,0
"584604 (2017 OD20)",1.245,4.66,N,22.67,0.236,1.94,2013-08-26,0
"584693 (2017 QF17)",1.070,17.09,N,19.70,0.207,2.16,2015-07-23,0
"585185 (2017 VT12)",0.697,6.57,N,20.43,0.0886,1.95,2015-07-24,0
"585310 (2017 YZ1)",0.883,20.87,Y,20.41,0.000695,1.77,2012-10-17,0
"585428 (2018 NP1)",0.787,27.66,N,20.97,0.196,1.26,2017-06-10,1
"585734 (2019 BA1)",0.974,26.83,N,22.20,0.191,2.20,2013-07-18,0
"591179 (2013 EU9)",1.098,3.87,N,21.66,0.0943,1.62,2004-12-20,0
"592968 (2015 FV118)",0.357,6.24,N,21.68,0.0744,1.36,2003-03-24,0
"594769 (2017 XD62)",1.130,26.60,N,19.62,0.307,2.16,2012-01-26,0
"594913 'Aylo'chaxnim (2020 AV2)",0.457,15.87,N,16.20,0.347,0.65,2020-01-04,2
"594936 (2021 EX2)",0.655,6.76,N,17.75,0.107,4.32,2002-03-12,0
"594938 (2021 GE13)",1.156,29.65,N,18.07,0.167,3.22,2011-03-09,0
"595116 (2001 QE96)",1.274,7.27,N,22.84,0.301,1.35,2001-08-21,0
"597171 (2006 UD63)",1.238,7.43,N,18.91,0.242,3.41,2002-03-12,0
"598001 (2008 CZ21)",1.225,17.05,N,20.53,0.297,1.64,2008-02-08,0
"601696 (2013 LV28)",0.462,24.02,N,18.74,0.294,2.51,2013-06-10,0
"601798 (2013 RX80)",0.585,9.28,N,18.21,0.154,3.19,1993-04-18,0
"604197 (2015 MO66)",0.549,25.00,N,20.10,0.235,1.91,2015-06-21,1
"605070 (2016 BT39)",0.909,8.96,Y,19.67,0.0478,3.03,2008-02-13,0
"605489 (2016 NW22)",1.266,5.28,N,21.11,0.27,2.95,2010-11-01,0
"605911 Cecily (2016 XD1)",1.257,14.50,N,19.22,0.288,2.31,2011-09-20,0
"606367 (2017 VB)",0.786,25.56,N,16.81,0.107,2.38,2011-09-10,2
"606438 (2017 XK61)",1.013,27.11,N,18.14,0.131,2.20,1976-05-29,0
"606441 (2017 YT5)",1.043,36.47,Y,19.09,0.0428,2.55,2011-01-30,0
"606605 (2018 KV)",0.830,29.04,N,17.28,0.158,4.39,2011-01-25,0
"606702 (2018 TO2)",0.446,43.26,N,20.13,0.541,1.76,2011-09-23,1
"606900 (2019 JC47)",1.230,6.43,N,20.43,0.224,3.07,2000-05-28,0
"606908 (2019 KB2)",1.166,24.96,N,18.32,0.44,4.10,2002-09-15,0
"606939 (2019 SD3)",1.250,19.00,N,21.80,0.286,1.87,2011-04-21,0
"608017 (2002 UZ30)",0.687,27.56,N,19.92,0.249,1.86,2002-10-29,0
"612012 (1983 LC)",0.743,1.56,Y,19.47,0.0248,4.46,1983-06-13,0
"612013 (1991 TF3)",0.962,14.88,N,19.29,0.0846,3.51,1991-10-02,0
"612027 (1995 FJ)",0.792,25.03,N,20.68,0.149,1.38,1995-03-29,0
"612050 (1997 GL3)",0.489,6.68,Y,19.14,0.00357,4.05,1997-04-07,0
"612057 (1998 FJ74)",1.109,28.12,N,18.99,0.366,3.67,1998-03-31,0
"612058 (1998 HN3)",1.190,9.20,N,18.32,0.238,5.03,1998-04-19,0
"612061 (1998 MR24)",1.084,6.07,N,19.29,0.107,2.83,1987-05-30,0
"612064 (1998 QQ52)",1.148,4.83,N,21.14,0.16,3.07,1998-08-18,0
"612089 (1999 FJ21)",0.924,21.96,N,20.26,0.0598,1.62,1999-03-22,0
"612091 (1999 HV1)",1.171,6.50,N,17.54,0.194,3.95,1991-09-04,0
"612094 (1999 NW2)",0.995,8.68,N,23.27,0.0174,1.24,1999-07-13,0
"612098 (1999 RM45)",0.599,10.89,Y,19.82,0.00316,2.77,1999-09-14,0
"612103 (1999 SK10)",0.985,6.96,N,19.84,0.113,2.54,1999-09-30,0
"612143 (2000 BO28)",0.679,6.34,Y,19.84,0.0476,2.72,1989-02-15,0
"612152 (2000 DV110)",1.275,4.39,N,19.22,0.272,2.90,1982-04-20,1
"612162 (2000 LK)",0.121,16.60,N,18.29,0.105,4.25,2000-06-01,0
"612171 (2000 QT7)",1.162,12.21,N,20.27,0.159,3.44,2000-08-24,0
"612197 (2000 WP19)",0.608,7.68,N,22.93,0.00353,1.10,2000-11-21,0
"612199 (2000 WL63)",1.004,18.27,N,20.01,0.162,1.86,2000-11-26,0
"612202 (2000 WO148)",1.024,4.42,N,20.53,0.0566,2.26,2000-11-29,0
"612210 (2001 BP61)",1.003,12.97,N,20.41,0.14,1.97,2001-01-03,0
"612227 (2001 QC34)",0.917,6.24,Y,20.20,0.0283,1.34,2001-08-17,0
"612267 (2001 SG286)",0.886,7.77,Y,20.91,0.00445,1.83,2001-09-27,0
"612324 (2002 AR129)",1.192,19.53,N,17.96,0.219,4.48,2002-01-12,0
"612326 (2002 CD14)",0.748,2.89,Y,20.42,0.0283,2.81,2002-02-07,0
"612337 (2002 EY2)",0.886,21.73,Y,19.45,0.000554,2.56,2002-02-24,0
"612342 (2002 FC)",0.942,6.76,Y,19.16,0.0304,4.70,2002-03-16,0
"612343 (2002 FT6)",0.531,9.49,N,22.66,0.041,1.45,2002-03-23,1
"612346 (2002 GQ5)",0.602,6.27,N,20.93,0.0979,1.71,2002-04-11,0
"612348 (2002 GZ8)",1.015,5.32,Y,18.73,0.0396,4.63,2001-10-13,0
"612356 (2002 JX8)",0.535,4.31,Y,20.33,0.019,1.01,2002-05-04,0
"612357 (2002 JC9)",0.389,13.39,N,18.60,0.172,4.13,2002-05-06,0
"612358 (2002 JE9)",0.622,8.77,Y,21.40,0.00642,1.51,2001-05-30,0
"612362 (2002 JQ100)",0.568,29.60,N,19.86,0.241,1.79,2002-05-12,0
"612363 (2002 KK3)",1.058,29.19,N,18.32,0.0903,3.84,2002-05-18,0
"612364 (2002 LE31)",0.917,11.37,N,20.16,0.0798,3.07,2002-01-12,0
"612380 (2002 PF43)",1.042,13.86,Y,20.95,0.0347,2.25,2002-08-10,0
"612383 (2002 PO75)",1.095,14.20,N,19.38,0.0863,2.44,2002-07-22,0
"612443 (2002 RR25)",0.667,13.54,N,21.06,0.141,1.27,2002-09-04,0
"612472 (2002 SQ)",0.877,16.82,N,19.89,0.0832,1.96,2002-09-21,0
"612484 (2002 TS67)",1.200,9.70,N,19.14,0.232,3.49,2002-10-07,0
"612509 (2002 UK11)",0.562,5.37,Y,21.89,0.0119,2.09,2002-10-28,0
"612522 (2002 VP69)",0.955,10.12,Y,18.23,0.0226,3.08,2002-10-06,0
"612529 (2002 XP40)",1.158,3.77,N,20.12,0.185,2.13,2002-12-06,0
"612536 (2003 AA3)",1.010,13.78,Y,20.29,0.0326,1.83,2003-01-03,0
"612541 (2003 DA16)",0.974,45.68,N,17.91,0.315,4.22,2002-08-23,0
"612552 (2003 KW16)",1.132,38.39,N,20.22,0.208,1.92,2003-05-29,0
"612556 (2003 OA3)",1.177,17.67,N,19.65,0.203,2.43,2003-07-20,0
"612563 (2003 QA)",0.678,10.33,N,18.49,0.169,3.99,2003-08-16,0
"612589 (2003 RW10)",1.216,7.43,N,19.18,0.228,3.08,2003-09-14,0
"612593 (2003 SQ15)",0.903,45.37,N,19.03,0.0597,2.43,2003-09-18,0
"612600 (2003 SM84)",1.033,2.80,N,23.02,0.0523,1.22,2003-09-20,1
"612608 (2003 SD201)",1.096,20.93,N,17.97,0.302,4.98,2003-09-26,0
"612723 (2003 YP17)",1.032,4.89,N,19.10,0.0565,2.97,2003-12-20,0
"612750 (2004 CP49)",1.115,23.44,N,19.34,0.306,3.38,2004-02-14,0
"612760 (2004 EO20)",1.152,4.54,N,22.30,0.162,1.29,2004-03-15,0
"612777 (2004 LU3)",1.019,9.81,N,18.62,0.0701,3.33,2004-06-12,0
"612780 (2004 MD)",0.889,9.77,Y,20.16,0.0157,2.95,2004-01-16,0
"612781 (2004 MW2)",0.414,35.09,N,19.38,0.0725,1.88,2004-06-20,0
"612786 (2004 PJ2)",0.933,2.58,Y,21.57,0.0233,1.90,1999-02-19,0
"612800 (2004 QC17)",1.210,9.04,N,18.96,0.231,3.10,2001-12-15,0
"612801 (2004 QD17)",1.167,12.32,N,19.85,0.178,2.31,2004-08-25,0
"612813 (2004 RF84)",0.858,23.29,Y,18.38,0.0347,3.47,2004-09-10,0
"612856 (2004 TP1)",0.789,7.49,Y,20.75,0.0285,1.79,2004-10-05,0
"612901 (2004 XP14)",0.885,32.95,Y,19.79,0.000579,1.22,2004-12-10,0
"612922 (2005 BY1)",0.989,16.97,N,18.04,0.198,5.34,2004-12-19,0
"612924 (2005 CL)",0.487,4.45,Y,20.29,0.0239,3.49,2005-01-16,0
"612929 (2005 CR37)",1.012,26.05,N,18.90,0.0636,2.80,2005-02-08,0
"612955 (2005 GK)",0.904,10.88,N,20.42,0.108,1.78,2005-04-01,0
"612970 (2005 HN3)",0.568,7.90,N,21.15,0.0793,1.14,2005-04-21,0
"612982 (2005 JU108)",1.143,6.53,N,19.70,0.172,3.11,2002-10-15,0
"612989 (2005 LW39)",0.566,28.47,Y,20.00,0.0276,3.41,2005-06-15,0
"612991 (2005 MX1)",1.017,6.90,N,19.49,0.0539,3.36,2005-06-21,0
"613010 (2005 OU1)",0.664,12.52,N,20.23,0.127,1.29,2005-07-27,2
"613014 (2005 QS10)",1.260,15.80,N,18.84,0.321,3.58,2005-07-03,0
"613096 (2005 TR45)",1.064,7.38,N,18.94,0.106,3.28,2002-10-31,0
"613217 (2005 VC2)",1.129,37.18,N,17.62,0.146,4.38,2005-06-08,0
"613234 (2005 VP118)",0.624,19.32,N,18.94,0.145,3.57,2005-11-01,0
"613286 (2005 YQ96)",0.495,22.23,Y,20.63,0.0183,0.99,2005-12-30,0
"613291 (2005 YX128)",0.582,4.63,N,19.03,0.0611,3.78,2005-12-30,0
"613315 (2006 AL3)",1.203,13.66,N,20.01,0.236,1.55,2005-12-30,0
"613397 (2006 FE)",0.647,13.78,N,20.30,0.0756,2.10,2006-03-22,0
"613398 (2006 FK)",0.606,14.61,N,21.25,0.194,1.24,2006-03-23,0
"613400 (2006 FH36)",0.766,1.58,N,23.03,0.0173,1.14,2006-03-31,0
"613401 (2006 FD51)",1.068,15.17,N,18.78,0.0922,3.26,2006-03-25,0
"613403 (2006 GB)",0.786,10.07,Y,20.23,0.011,1.13,2006-04-02,0
"613420 (2006 KR1)",0.693,19.59,N,20.34,0.291,1.63,2006-05-20,0
"613422 (2006 KQ21)",1.233,6.32,N,18.69,0.228,3.38,2006-05-23,1
"613433 (2006 KZ86)",0.310,14.17,N,18.15,0.214,4.09,2006-05-27,0
"613434 (2006 KF89)",1.292,38.18,N,18.54,0.479,2.45,2006-05-28,0
"613439 (2006 OZ)",1.176,5.01,N,18.69,0.183,3.23,1993-10-20,0
"613440 (2006 OA5)",0.947,10.83,N,19.67,0.123,2.10,1974-06-20,0
"613450 (2006 PY17)",0.682,2.85,Y,19.30,0.0255,3.11,2006-08-15,0
"613471 (2006 RJ1)",0.665,1.41,N,22.27,0.00129,1.24,2006-09-12,0
"613496 (2006 SD6)",1.058,35.75,N,20.22,0.296,1.97,2006-09-17,0
"613512 (2006 SK134)",0.871,34.67,N,18.73,0.133,2.89,2001-09-27,0
"613527 (2006 SV189)",1.284,15.85,N,19.80,0.371,2.50,2006-09-26,0
"613569 (2006 TU7)",0.451,2.95,Y,21.95,0.0235,1.25,2002-09-09,0
"613626 (2006 UR216)",0.784,14.27,N,19.94,0.081,2.56,2006-10-30,0
"613676 (2006 WE4)",0.641,24.77,N,18.82,0.0999,0.93,2006-11-21,1
"613714 (2007 DL41)",0.763,4.67,Y,20.82,0.0462,2.15,2007-02-23,0
"613726 (2007 EF)",0.484,21.73,Y,21.34,0.0241,1.16,2007-03-09,0
"613763 (2007 ML13)",1.187,18.01,N,20.23,0.193,1.41,2007-06-22,0
"613775 (2007 RU12)",1.260,7.02,N,20.09,0.272,3.32,2007-09-12,0
"613814 (2007 SR1)",0.526,19.70,N,20.20,0.299,1.57,2007-09-18,0
"613829 (2007 TE66)",0.840,10.25,N,21.57,0.158,1.27,2007-10-12,0
"613862 (2007 UY1)",0.782,1.02,N,23.10,0.00547,1.12,2007-10-18,0
"613910 (2007 WB5)",0.575,18.97,N,19.11,0.284,2.97,2007-11-20,0
"613913 (2007 XB10)",0.884,41.33,N,17.78,0.053,3.54,2007-12-05,0
"613939 (2008 CH116)",0.273,20.37,N,19.25,0.224,1.05,2008-02-09,0
"613940 (2008 CZ118)",1.286,22.95,N,18.53,0.503,3.13,1997-10-29,0
"613949 (2008 CC175)",0.476,10.17,N,21.42,0.117,1.43,2007-01-27,0
"613959 (2008 EE68)",1.230,31.52,N,20.62,0.334,1.71,2008-03-11,0
"613964 (2008 FN)",0.763,44.65,N,18.53,0.0729,3.03,1995-05-03,0
"613985 (2008 HA38)",1.286,17.59,N,20.35,0.304,1.68,2003-10-29,0
"613986 (2008 JG)",0.740,7.92,Y,20.81,0.0493,1.36,2008-05-01,0
